               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087601,            0.029345,            0.032052,              0.8594,             0.18469,             0.20592,            0.085446,            0.063964,             0.02409,            0.017851,            0.070082,           0.0033242,           0.0033242
                   1,            0.065328,            0.028441,            0.015368,             0.74336,             0.30719,              0.3004,             0.13133,             0.05604,            0.022139,            0.010605,            0.039643,           0.0062182,           0.0062182
                   2,            0.059681,            0.027222,            0.011562,             0.69821,             0.35618,             0.36351,             0.15203,            0.050613,            0.021326,           0.0085875,           0.0087632,           0.0086721,           0.0086721
                   3,            0.055101,            0.026931,            0.010057,             0.48898,             0.43965,             0.42341,             0.18074,            0.049721,            0.021228,           0.0080748,             0.00802,             0.00802,             0.00802
                   4,            0.052104,            0.026402,           0.0086958,             0.58436,             0.45496,             0.46793,             0.19456,            0.048641,            0.020705,           0.0063376,             0.00802,             0.00802,             0.00802
                   5,            0.049492,             0.02569,           0.0075757,             0.67823,              0.4703,             0.51191,             0.22977,            0.044783,            0.020804,           0.0056079,             0.00736,             0.00736,             0.00736
                   6,            0.047303,            0.025321,           0.0068691,             0.60768,             0.52485,              0.5319,             0.25032,            0.043366,            0.019849,           0.0047988,              0.0067,              0.0067,              0.0067
                   7,             0.04583,            0.024998,           0.0060845,              0.5683,             0.53527,              0.5462,              0.2501,            0.043487,            0.019737,            0.004378,             0.00604,             0.00604,             0.00604
                   8,            0.044926,            0.024854,           0.0057881,             0.66006,             0.56091,              0.5851,             0.27222,             0.04118,            0.019168,           0.0040762,             0.00538,             0.00538,             0.00538
                   9,            0.043508,            0.024291,           0.0050376,             0.68664,             0.58544,             0.59851,             0.29517,            0.040774,            0.018783,           0.0036722,             0.00472,             0.00472,             0.00472
                  10,            0.042551,            0.024109,           0.0047329,              0.7055,             0.61512,             0.63776,             0.30325,            0.039341,            0.018424,           0.0032842,             0.00406,             0.00406,             0.00406
                  11,            0.041501,            0.023367,           0.0046165,             0.69647,             0.60279,              0.6372,             0.30887,            0.039029,            0.018281,           0.0031257,              0.0034,              0.0034,              0.0034
                  12,            0.040773,             0.02325,           0.0044204,             0.69555,             0.61432,             0.64471,             0.31812,            0.038469,            0.018008,           0.0028058,             0.00274,             0.00274,             0.00274
                  13,            0.039829,            0.022977,           0.0039254,             0.70234,             0.61393,             0.65725,             0.32818,            0.037955,            0.017863,           0.0027452,             0.00208,             0.00208,             0.00208
                  14,            0.039283,            0.022576,           0.0038884,              0.7574,             0.62323,             0.66462,             0.33331,            0.037156,            0.017557,           0.0026993,             0.00142,             0.00142,             0.00142
